Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
tastecomau /assets/static/site logos/tastesvg,2,0,3,0,0,2,0,0,0
log in sign up,2,2,4,0,0,2,0,0,0
recipes dinner quick easy healthy baking entertaining food news video win,0,2,11,0,0,5,3,0,0
more,2,0,1,0,0,0,0,0,0
food news,1,2,2,0,0,2,0,0,0
video,1,1,1,0,0,1,0,0,0
win,0,1,1,0,0,1,0,0,0
tastecomau /assets/static/site logos/tastesvg,2,0,3,0,0,2,0,0,0
new york baked cheesecake,2,2,4,0,0,2,1,0,0
8h 40m prep,1,2,3,1,3,1,0,0,0
1h cook,1,1,2,1,1,1,0,0,0
12 servings,2,1,2,1,2,1,0,0,0
94,2,2,1,1,2,0,0,0,0
save recipe,2,2,2,0,0,1,1,0,0
2 353 people saved this,2,2,5,1,4,1,1,0,0
208 people made this,2,2,4,1,3,1,1,0,0
take the cake and master the basics with this creamy baked version of a,1,2,14,0,0,4,1,0,0
classic dessert,2,1,2,0,0,1,0,0,0
k,2,2,1,0,0,1,0,0,0
katrina woodman,0,2,2,0,0,2,0,0,0
calories /assets/static/icons/caloriessvg,2,0,2,0,0,1,1,0,0
403 calories per serve,0,2,4,1,3,2,0,0,0
warning /assets/static/icons/warningsvg,2,0,2,0,0,1,1,0,0
allergens recipe may contain gluten wheat egg milk and lactose,2,2,10,0,0,6,1,0,0
more nutrition information,2,2,3,0,0,2,0,0,0
9 ingredients,1,2,2,1,1,1,0,0,0
3 method steps,2,1,3,1,1,1,0,0,0
9 ingredients,2,2,2,1,1,1,0,0,0
250g packet plain sweet biscuits,2,2,5,1,3,3,0,0,1
125g butter melted,2,2,3,1,3,1,1,0,1
2 x 250g packets cream cheese softened,2,2,7,1,4,2,2,0,1
3/4 cup caster sugar,2,2,4,1,2,3,0,1,1
3/4 cup sour cream,2,2,4,1,2,2,0,1,1
1 tsp vanilla extract,2,2,4,1,1,2,0,1,1
1 tsp finely grated lemon rind,2,2,6,1,1,2,1,1,1
3 eggs,2,2,2,1,1,1,0,0,1
frozen raspberries thawed to serve,2,2,5,0,0,1,2,0,1
select all ingredients,2,2,3,0,0,1,1,0,0
add to shopping list,2,2,4,0,0,2,1,0,0
3 method steps,2,2,3,1,1,1,0,0,0
step 1,2,2,2,1,1,1,0,0,0
preheat oven to 160 c/140 c fan forced grease a 6cm deep 22cm round base,1,2,15,1,9,6,1,0,0
spring form cake pan,2,1,4,0,0,4,0,0,0
step 2,2,2,2,1,1,1,0,0,0
process biscuits,2,2,2,0,0,2,0,0,0
unsure of the quantity needed,0,2,5,0,0,2,1,0,0
click on the underlined ingredient to reveal the quantity no need to flip,1,0,13,0,0,4,2,0,0
back and forth,0,1,3,0,0,1,0,0,0
ok got it,2,0,3,0,0,1,1,0,0
250g packet plain sweet biscuits until mixture resembles fine breadcrumbs,1,2,10,1,3,6,1,0,0
add butter 125g butter melted process until combined press mixture over,1,1,11,1,3,5,2,0,0
base and sides of pan leaving a 2cm gap from top see cooking class,1,1,14,1,1,6,2,0,0
refrigerate for 30 minutes,2,1,4,1,2,2,0,0,0
step 3,2,2,2,1,1,1,0,0,0
process cream cheese 2 x 250g packets cream cheese softened sugar 3/4 cup,1,2,13,1,6,6,2,1,0
caster sugar sour cream 3/4 cup sour cream vanilla 1 tsp vanilla,1,1,12,1,3,8,0,1,0
extract and lemon rind 1 tsp finely grated lemon rind until smooth add,1,1,13,1,1,5,1,1,0
eggs 3 eggs 1 at a time processing until just combined pour into prepared,1,1,14,1,2,4,2,0,0
pan bake for 50 minutes to 1 hour or until just set and centre wobbles,1,1,15,1,3,4,2,0,0
slightly allow to cool in oven for 2 hours with door ajar refrigerate,1,1,13,1,1,4,2,0,0
overnight serve with raspberries frozen raspberries thawed to serve,2,1,9,0,0,3,2,0,0
did you make this,0,2,4,0,0,0,2,0,0
i made this,2,0,3,0,0,1,1,0,0
208 people made this,2,2,4,1,3,1,1,0,0
tell us what you think of this recipe,0,2,8,0,0,1,2,0,0
rate now,2,0,2,0,0,1,0,0,0
save recipe,2,2,2,0,0,1,1,0,0
2 353 people saved this,2,2,5,1,4,1,1,0,0
recipe notes,2,2,2,0,0,2,0,0,0
