Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
bestrecipescomau /assets/static/site logos/brsvg,2,0,3,0,0,2,0,0,0
log in / sign up search,2,2,6,0,0,4,0,0,0
recipes,1,2,1,0,0,1,0,0,0
easy dinners,1,1,2,0,0,1,0,0,0
budget,1,1,1,0,0,1,0,0,0
baking,1,1,1,0,0,1,0,0,0
easter,1,1,1,0,0,1,0,0,0
hunger hacks,1,1,2,0,0,2,0,0,0
slow cooker recipes,1,1,3,0,0,2,0,0,0
submit a recipe,1,1,3,0,0,2,0,0,0
videos,2,1,1,0,0,1,0,0,0
bestrecipescomau /assets/static/site logos/brsvg,0,2,3,0,0,2,0,0,0
cinnamon teacake banana,1,0,3,0,0,2,1,0,0
muffins https //imgbestrecipescomau/if1jnr p/w643 h428 cfill q90/br/2019/11/recipe img placeholder 955118 1jpg,2,1,11,1,22,6,1,0,0
share,2,2,1,0,0,1,0,0,0
cinnamon teacake banana muffins,2,2,4,0,0,3,1,0,0
capable cooks,1,2,2,0,0,1,0,0,0
0 10 prep,1,1,3,1,3,1,0,0,0
0 20 cook,1,1,3,1,3,1,0,0,0
6 servings,2,1,2,1,1,1,0,0,0
save recipe,0,2,2,0,0,1,1,0,0
moggybear /assets/static/icons/letters/msvg by moggybear,2,0,4,0,0,2,0,0,0
cooked this recipe,0,2,3,0,0,1,1,0,0
upload your photo for,1,0,4,0,0,1,0,0,0
a chance to win learn more,2,1,6,0,0,2,1,0,0
upload your recipe photo,2,2,4,0,0,2,0,0,0
so light and fluffy no one will ever know you made this using a packet cake,1,2,16,0,0,3,3,0,0
mix moggybear,2,1,2,0,0,2,0,0,0
ingredients,2,2,1,0,0,1,0,0,0
400 g traditional english tea cake mix,2,2,7,1,3,3,0,0,1
2 egg,2,2,2,1,1,1,0,0,1
80 g soft butter,2,2,4,1,2,1,0,0,1
1/3 cup milk,2,2,3,1,2,2,0,1,1
3/4 cup banana mashed,2,2,4,1,2,2,1,1,1
1/4 cup sultanas optional,2,2,4,1,2,2,0,1,1
1 oil spray,2,2,3,1,1,2,0,0,1
topping,2,2,1,0,0,0,1,0,0
1 tbs butter melted,2,2,4,1,1,1,1,0,1
1 tsp cinnamon sugar,2,2,4,1,1,2,0,1,1
method,2,2,1,0,0,1,0,0,0
1 preheat oven to 180c,2,2,5,1,4,1,1,0,0
2 line 12 muffin tins with paper cases and lightly coat with oil spray,2,2,14,1,3,8,0,0,0
3 in a large mixing bowl place cake mix eggs butter and milk,2,2,13,1,1,7,1,0,0
4 beat on low speed until ingredients are combined then increase speed to medium for approximately 2 minutes,2,2,18,1,2,5,4,1,0
5 with a spatula stir in banana and sultanas until just combined,2,2,12,1,1,4,1,0,0
6 divide mixture between muffin cases,2,2,6,1,1,3,0,0,0
7 bake for approximately 18 20 minutes,2,2,7,1,5,2,0,0,0
8 while still warm brush tops of muffins with melted butter and sprinkle with cinnamon sachet,2,2,16,1,1,7,0,0,0
equipment,2,2,1,0,0,1,0,0,0
1 12 hole muffin pan,2,2,5,1,3,3,0,0,0
1 electric mixer,2,2,3,1,1,1,0,0,0
12 paper cases,2,2,3,1,2,2,0,0,0
notes,2,2,1,0,0,1,0,0,0
this is the perfect way to use up ripe bananas a minimum of 2 bananas are,1,2,16,1,1,4,3,0,0
needed the packet mix is readily available at the supermarket delicious,1,1,11,0,0,3,2,0,0
eaten while still warm but equally as moist and light the next day for,1,1,14,0,0,3,1,0,0
morning tea,2,1,2,0,0,2,0,0,0
recipe reviews,2,2,2,0,0,2,0,0,0
join the conversation,2,2,3,0,0,1,1,0,0
log in register,2,2,3,0,0,2,0,0,0
view all reviews,2,2,3,0,0,2,0,0,0
share,2,2,1,0,0,1,0,0,0
have a recipe to share,0,2,5,0,0,2,1,0,0
send us your best recipes to be featured on our site learn more,2,0,13,0,0,3,3,0,0
discover more,2,2,2,0,0,0,0,0,0
muffin,1,2,1,0,0,1,0,0,0
morning and afternoon tea,1,1,4,0,0,3,0,0,0
brownie,0,1,1,0,0,1,0,0,0
pineapple,1,0,1,0,0,1,0,0,0
ruffles https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,1,7,1,14,3,1,0,0
up next,2,2,2,0,0,0,0,0,0
pineapple ruffles,2,2,2,0,0,2,0,0,0
popular video,2,2,2,0,0,1,0,0,0
join australia s best recipes,0,2,5,0,0,3,1,0,0
sign up to rate and review recipes create your own cookbooks and more,2,0,13,0,0,5,1,0,0
create my account,2,2,3,0,0,1,1,0,0
already a member,0,2,3,0,0,1,0,0,0
log in here,2,0,3,0,0,1,0,0,0
my profile,2,2,2,0,0,1,0,0,0
my recipes edit profile log out,2,2,6,0,0,2,1,0,0
latest reviews,2,2,2,0,0,1,0,0,0
1,0,2,1,1,1,0,0,0,0
west african tsire koftas https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,10,1,14,4,1,0,0
west african tsire koftas,2,2,4,0,0,2,0,0,0
4,2,2,1,1,1,0,0,0,0
2,0,2,1,1,1,0,0,0,0
baked bean curry https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,9,1,14,6,0,0,0
baked bean curry,2,2,3,0,0,2,0,0,0
